,text,target,sender,link,hostile,If hostile is it directed ?,group,id
0,@FlyGuyCree Nigga whatever one you gave me 🤦🏻‍♀️,FlyGuyCree,axb___,https://twitter.com/statuses/1105487920813821952,0,0,11,1105487920813821952
1,@ArvindKejriwal . go to hell you ass hole.,ArvindKejriwal,ketanlagoo,https://twitter.com/statuses/1101408718275649536,1,1,10,1101408718275649536
2,@JohnJohnDaDon That “nigga” done lost his fucking mind smh 🤦🏽‍♂️,JohnJohnDaDon,jooce007,https://twitter.com/statuses/1105435377026957313,1,0,10,1105435377026957313
3,@kane_tingle10 Can’t be fucked with them mate. Wank over the royal family and that too 🤮,kane_tingle10,Josh_Utb,https://twitter.com/statuses/1101149740476055552,0,0,11,1101149740476055552
4,"@JHarris_TheDon Its honestly better anyways. These doctors be doin crazy shit to women who are delivering. Especially black women, the statistics scare me too much. Lol",JHarris_TheDon,brownskinndij,https://twitter.com/statuses/1100224463726133248,0,0,1,1100224463726133248
5,"@AustinMahone literally, you are THAT BITCH FOREVER",AustinMahone,mahonesmajesty,https://twitter.com/statuses/1099849303034683393,1,1,11,1099849303034683393
6,"@FreezePeach_ @CTWarriorMonkey @jongaunt @BovisEdward @northolt3103 ""on the spectrum""? How fuckin offensive you deluded fat cunt",FreezePeach_,Ciaranthecab,https://twitter.com/statuses/1099777198049976320,1,1,1,1099777198049976320
7,@markitogarcia15 nigga took the two biggest Ls of the whole saga smh,markitogarcia15,7ksake,https://twitter.com/statuses/1105262200992743426,1,0,11,1105262200992743426
8,@Tay_674 Boyyyyy whattt be saying “ smoke me bitch ass nigga “,Tay_674,Slimhippie_,https://twitter.com/statuses/1105222876683268102,0,0,11,1105222876683268102
9,@BattleRapTrap you need a big name my nigga you was on you shit keep working GOD,BattleRapTrap,dreamteam951,https://twitter.com/statuses/1099841929334976512,1,1,10,1099841929334976512
10,@PhilHayYEP Fucking storm Gareth knocked out my sky!!! FUCK OFF YOU CUNT,PhilHayYEP,brownmackers,https://twitter.com/statuses/1105580165122478081,1,1,10,1105580165122478081
11,@ltsAdri wya ma go slap the daily cunt ma,ltsAdri,bIaatino,https://twitter.com/statuses/1105179438654939136,1,0,11,1105179438654939136
12,@itsmemarnieb @azcentral @ejmontini I call BS worry about that shit hole of NY and keep az out ur mouth!!!,itsmemarnieb,goldengators21,https://twitter.com/statuses/1096650708823109633,1,1,0,1096650708823109633
13,@69traf @MarcIles My bet is a Thursday morning signoff. Just so Ken can let everyone know that he can get away with being a twat.,69traf,SuperWhiteSmurf,https://twitter.com/statuses/1105393752229773312,1,0,1,1105393752229773312
14,"@realDonaldTrump You’re a literal racist piece of shit with no regards to anyone but yourself. I sincerely hope you rot in hell, because heaven can’t keep that company.",realDonaldTrump,iamtravisio,https://twitter.com/statuses/1094775652052422656,1,1,10,1094775652052422656
15,@marge_mariotti @realDonaldTrump You claim your perception is crystal clear and yet here's the most recent poll on Trumps approval rating. Where did you pull your polling from?  NPR? 😂 All polls are full of shit depending upon the way in which the data i,marge_mariotti,Higgys_World,https://twitter.com/statuses/1094949610966188032,1,0,1,1094949610966188032
16,"@___Dime___ @stripforjohnson I don’t need those musty ass screenshots in my phone, EVERYBODY knows what I’m talking about.",___Dime___,THICCCZICK,https://twitter.com/statuses/1094825798677266432,1,0,1,1094825798677266432
17,@AgentFraudy Racist rent boy cunt,AgentFraudy,danny7broome,https://twitter.com/statuses/1100197643823779840,1,1,0,1100197643823779840
18,@kingg_royalty shutup bitch,kingg_royalty,ygg_tae,https://twitter.com/statuses/1097275459790868480,0,0,11,1097275459790868480
19,@AmbitionBanks5 😂😂😂 bruh spot on with these atl hood nigga videos,AmbitionBanks5,lbcguy20,https://twitter.com/statuses/1105591290534813696,0,0,10,1105591290534813696
20,@BASEDSAVAGE_ Nigga said https://t.co/zabRN9b3tJ,BASEDSAVAGE_,_AlmightyNugget,https://twitter.com/statuses/1099853815665381376,0,0,10,1099853815665381376
21,"@AaronLillycrop Nah, Perez bashing when he's shit. I think Lejeune has been canny shit too, but he doesn't lose the ball every time its fed into him",AaronLillycrop,NUFC_Index,https://twitter.com/statuses/1101921142737158144,1,0,1,1101921142737158144
22,@Ijfine85 @Blessing_iyah Lol I have had mad ass period pains since I was 12. Sometimes I take injections. She'll be fine,Ijfine85,MoninuolaG,https://twitter.com/statuses/1096838013018083330,0,0,1,1096838013018083330
23,@BubTrey5 @Nichalis nigga put his dick in crazy unlucky,BubTrey5,JxSHP9,https://twitter.com/statuses/1099815592557772800,1,0,11,1099815592557772800
24,"@Diy_ola shit nigga i need glasses, my vision is suddenly impaired.",Diy_ola,nonsotxt,https://twitter.com/statuses/1095252129235771392,0,0,11,1095252129235771392
25,"@vientosnadamal Mmmm I will. In my own quarters.  Keep me updated on the Fio situation though.   *and so she leaves to see what’s so awful about the Minister of Defense other than him being a nosy, worrying twat.*",vientosnadamal,TalonGenetics,https://twitter.com/statuses/1105368949670047744,1,0,11,1105368949670047744
26,@WarSyndromee U didn't treat bad because of the international pressure. Videos became viral and reached corned . Otherwise u ll take his eyes out like a shit. Don't self praise yourself,WarSyndromee,nirmalkumar_ra,https://twitter.com/statuses/1101524386962563072,1,0,0,1101524386962563072
27,"@realDonaldTrump It’s the safest form of travel you stupid, Orange twat",realDonaldTrump,enebesniak,https://twitter.com/statuses/1105469158404308993,1,1,10,1105469158404308993
28,"@Necrotocism @circleofdeceit oh he didn’t post about THIS I just mean specifically being Jewish, and thus not likely to do this shit",Necrotocism,LangdonHickman,https://twitter.com/statuses/1100629989849006081,0,0,1,1100629989849006081
29,@lfcalltheway86 @Dan88whit @taylor_g94 Stop talking shit Paul.x,lfcalltheway86,MarcWal88078856,https://twitter.com/statuses/1101821956821782530,0,0,11,1101821956821782530
30,@cloutkiingg I’m joining D43SH for this nigga,cloutkiingg,castroszn,https://twitter.com/statuses/1100129003195617280,0,0,11,1100129003195617280
